TesterID:,Maccor #1,,,,,,,,,,,,,
Channel Number:,8,,,,,,,,,,,,,
TestName:,ZW_DLG3 200cycles.000,,,,,,,,,,,,,
TestDesc:,JGNE 1C,,,,,,,,,,,,,
StartDateTime:,44733.3855030903,,,,,,,,,,,,,
Comment:,DLG3 2 2000-2200,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,Charge,,Discharge,,,
Cycle,Test Time,AH-IN,AH-OUT,WH-IN,WH-OUT,T1_Start,T1_End,T1_Min,T1_Max,T1_Start,T1_End,T1_Min,T1_Max,Date
0,3.681827777778,2.023495977128,2.051069154735,7.834348129475,7.323218108024,35.361473083496,35.556854248047,35.361473083496,37.555755615234,35.466678619385,41.170345306396,35.466678619385,41.170345306396,44733.538933831
1,7.199977777778,2.029418732569,2.029528417809,7.856133710293,7.2505841251,35.436618804932,35.571884155273,35.391532897949,37.570785522461,35.556854248047,41.244071960449,35.556854248047,41.244071960449,44733.685539375
2,10.724191666667,2.032428504701,2.03181162356,7.867291484487,7.258831745131,35.391532897949,35.556854248047,35.316387176514,37.570785522461,35.571884155273,41.229328155518,35.571884155273,41.229328155518,44733.8323976968
3,14.248958333333,2.033199292151,2.033053254834,7.870236513159,7.262322402467,35.316387176514,35.526798248291,35.301357269287,37.510665893555,35.556854248047,41.111362457275,35.556854248047,41.111362457275,44733.9792787616
4,17.772322222222,2.033296081822,2.033178274968,7.870700070778,7.261807553918,35.331413269043,35.496738433838,35.316387176514,37.510665893555,35.526798248291,41.199836730957,35.526798248291,41.199836730957,44734.126116956
5,21.296258333333,2.033614846181,2.033111565067,7.871976418022,7.26115940205,35.391532897949,35.511768341064,35.361473083496,37.525695800781,35.496738433838,41.258819580078,35.496738433838,41.258819580078,44734.2729634259
6,24.827405555556,2.034696083094,2.033094853047,7.876418139751,7.260777358628,35.391532897949,35.5869140625,35.391532897949,37.465579986572,35.511768341064,41.199836730957,35.511768341064,41.199836730957,44734.4201106829
7,28.354063888889,2.033605582683,2.034203108178,7.871989773908,7.264792990507,35.406562805176,35.526798248291,35.361473083496,37.570785522461,35.5869140625,41.244071960449,35.5869140625,41.244071960449,44734.5670704514
8,31.877433333333,2.03343679374,2.033078202487,7.87121249825,7.26018575318,35.451648712158,35.54182434082,35.436618804932,37.645931243896,35.526798248291,41.199836730957,35.526798248291,41.199836730957,44734.7138934722
9,35.401694444444,2.033472507481,2.032853220077,7.871436331176,7.259178225995,35.451648712158,35.481708526611,35.436618804932,37.555755615234,35.54182434082,41.214580535889,35.54182434082,41.214580535889,44734.8607535301
10,38.930058333333,2.033690219391,2.032869973212,7.872210068646,7.258931604639,35.376502990723,35.511768341064,35.34644317627,37.525695800781,35.481708526611,41.185092926025,35.481708526611,41.185092926025,44735.0077845718
11,42.459308333333,2.034009481363,2.032786642422,7.873637892222,7.258644839553,35.436618804932,35.511768341064,35.406562805176,37.555755615234,35.511768341064,41.214580535889,35.511768341064,41.214580535889,44735.1548526042
12,45.987019444444,2.033500178446,2.033311536668,7.871698691485,7.260774366552,35.406562805176,35.526798248291,35.391532897949,37.495639801025,35.511768341064,41.214580535889,35.511768341064,41.214580535889,44735.3018565394
13,49.511813888889,2.033171440197,2.03290318193,7.870376857128,7.258826135185,35.391532897949,35.496738433838,35.376502990723,37.495639801025,35.526798248291,41.185092926025,35.526798248291,41.185092926025,44735.4487388426
14,53.036991666667,2.033045947882,2.032319841391,7.869873638202,7.256136481873,35.496738433838,35.556854248047,35.466678619385,37.615871429443,35.496738433838,41.111362457275,35.481708526611,41.111362457275,44735.5956372454
15,56.564322222222,2.033150953689,2.032453350203,7.870285529137,7.25721473413,35.391532897949,35.556854248047,35.376502990723,37.600845336914,35.556854248047,41.258819580078,35.556854248047,41.258819580078,44735.7426252662
16,60.094008333333,2.033645796139,2.032494898824,7.872346690265,7.257282947422,35.436618804932,35.54182434082,35.361473083496,37.555755615234,35.556854248047,41.30305480957,35.556854248047,41.30305480957,44735.8897112963
17,63.624805555556,2.033748329137,2.032919848173,7.873036086599,7.258650001243,35.451648712158,35.556854248047,35.376502990723,37.465579986572,35.54182434082,41.199836730957,35.54182434082,41.199836730957,44736.0368437731
18,67.154855555556,2.033651718335,2.033144920441,7.872527298392,7.259545916319,35.466678619385,35.54182434082,35.406562805176,37.555755615234,35.556854248047,41.258819580078,35.556854248047,41.258819580078,44736.1839451389
19,70.685316666667,2.033639963802,2.033036645813,7.872733452009,7.259070930338,35.436618804932,35.5869140625,35.376502990723,37.495639801025,35.54182434082,41.185092926025,35.54182434082,41.199836730957,44736.3310637153
20,74.213897222222,2.033323179302,2.033069922349,7.871251350314,7.259072600231,35.436618804932,35.5869140625,35.391532897949,37.495639801025,35.5869140625,41.229328155518,35.5869140625,41.229328155518,44736.4781039815
21,77.739902777778,2.03301150064,2.032619919382,7.870086619763,7.257395778346,35.391532897949,35.556854248047,35.361473083496,37.63090133667,35.601943969727,41.30305480957,35.601943969727,41.30305480957,44736.6250368519
22,81.264291666667,2.032661655773,2.032461671456,7.868640755256,7.256632233055,35.391532897949,35.496738433838,35.361473083496,37.63090133667,35.556854248047,41.273567199707,35.556854248047,41.273567199707,44736.7719022917
23,84.794258333333,2.033618515975,2.031861638819,7.872651166955,7.25427213177,35.391532897949,35.571884155273,35.376502990723,37.555755615234,35.496738433838,41.185092926025,35.496738433838,41.185092926025,44736.9190000926
24,88.313236111111,2.031233880963,2.032878273272,7.8628952654,7.258174793005,35.466678619385,35.496738433838,35.436618804932,37.555755615234,35.571884155273,41.273567199707,35.556854248047,41.273567199707,44737.0656559722
25,91.839997222222,2.032744817443,2.03042840255,7.869234128101,7.248743159039,35.421592712402,35.526798248291,35.406562805176,37.495639801025,35.496738433838,41.229328155518,35.496738433838,41.229328155518,44737.2126201852
26,95.362780555556,2.032006955995,2.032194966642,7.866160292172,7.255325471842,35.406562805176,35.556854248047,35.391532897949,37.615871429443,35.526798248291,41.273567199707,35.526798248291,41.273567199707,44737.3594188657
27,98.885961111111,2.031608382713,2.031253327738,7.86478824675,7.251785283616,35.406562805176,35.496738433838,35.376502990723,37.585815429688,35.556854248047,41.288311004639,35.54182434082,41.288311004639,44737.5062339236
28,102.412497222222,2.032081639582,2.030778271577,7.866764013495,7.250025229796,35.496738433838,35.601943969727,35.481708526611,37.600845336914,35.496738433838,41.258819580078,35.481708526611,41.258819580078,44737.6531889815
29,105.943813888889,2.033013177861,2.031270119868,7.870690438476,7.251894481182,35.436618804932,35.5869140625,35.376502990723,37.570785522461,35.601943969727,41.244071960449,35.601943969727,41.244071960449,44737.8003432755
30,109.468538888889,2.031730299755,2.032328272424,7.865285242433,7.255736481467,35.34644317627,35.511768341064,35.34644317627,37.585815429688,35.5869140625,41.214580535889,35.571884155273,41.214580535889,44737.9472227431
31,112.988269444444,2.030925222315,2.030911637547,7.862177995294,7.250379828383,35.391532897949,35.481708526611,35.361473083496,37.570785522461,35.511768341064,41.214580535889,35.511768341064,41.214580535889,44738.0938942361
32,116.512622222222,2.031634370947,2.030286754745,7.864965165986,7.247884112118,35.481708526611,35.54182434082,35.451648712158,37.480609893799,35.481708526611,41.244071960449,35.481708526611,41.244071960449,44738.2407585532
33,120.038002777778,2.031475910243,2.030845073879,7.864470538872,7.250088352344,35.406562805176,35.481708526611,35.391532897949,37.570785522461,35.54182434082,41.273567199707,35.54182434082,41.273567199707,44738.3876650463
34,123.557977777778,2.030239928198,2.030728329646,7.859370979835,7.249625145891,35.421592712402,35.466678619385,35.406562805176,37.600845336914,35.481708526611,41.229328155518,35.466678619385,41.229328155518,44738.5343467245
35,127.082261111111,2.031194978086,2.029670073667,7.863293072161,7.245356111841,35.436618804932,35.526798248291,35.421592712402,37.585815429688,35.466678619385,41.214580535889,35.466678619385,41.214580535889,44738.681207963
36,130.608247222222,2.031426565533,2.03043662801,7.863968175494,7.248817061307,35.181121826172,35.481708526611,35.181121826172,37.721076965332,35.526798248291,41.288311004639,35.526798248291,41.288311004639,44738.82814
37,134.136747222222,2.031596237803,2.030911700279,7.865009948855,7.25021533416,35.451648712158,35.54182434082,35.436618804932,37.570785522461,35.481708526611,41.170345306396,35.481708526611,41.170345306396,44738.9751768634
38,137.663177777778,2.031279023084,2.030861684596,7.863809015883,7.250002081908,35.421592712402,35.511768341064,35.406562805176,37.585815429688,35.54182434082,41.214580535889,35.54182434082,41.214580535889,44739.1221275116
